Date,vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,opengap1,closegap1,highgap1,lowgap1
2013-12-30,2.86,8.0,0.4,0.4,4.15,6.95,-12.0,0.2,-0.6,0.3,-0.8
2014-01-01,3.04,10.0,0.3,0.1,-2.51,-0.58,-23.0,0.5,0.4,0.6,0.2
2014-01-02,6.23,6.0,0.1,0.2,0.34,4.58,-11.0,-0.1,-1.6,0.8,-1.8
2014-01-03,-4.11,-32.0,-1.6,-2.2,-2.5,-1.2,-31.0,-0.5,-0.1,0.1,-0.9
2014-01-06,3.97,-5.0,-0.1,0.2,-8.82,4.86,6.0,-0.2,-0.4,-0.0,-0.8
2014-01-07,-1.09,-9.0,-0.4,-1.4,0.88,7.78,-4.0,0.3,-0.5,0.5,-0.9
2014-01-08,0.0,-18.0,-0.5,-0.2,-0.27,-0.95,-6.0,0.2,0.0,0.4,-0.2
2014-01-09,-0.86,-8.0,0.0,0.0,-2.53,0.26,-18.0,0.0,-0.2,0.1,-0.6
2014-01-10,-3.71,-10.0,-0.2,-0.8,-1.12,-0.71,-11.0,-0.0,-0.1,1.4,-0.5
2014-01-13,2.37,-13.0,-0.1,-1.6,-0.16,5.97,-15.0,0.4,1.7,2.0,0.4
2014-01-14,-1.32,28.0,1.7,2.0,3.1,-2.29,9.0,-0.0,-0.5,0.1,-0.7
2014-01-15,-2.03,-20.0,-0.5,-0.8,0.97,1.12,3.0,0.2,1.2,1.3,0.2
2014-01-16,0.78,31.0,1.2,1.7,2.59,-0.21,-7.0,-0.0,-0.0,0.3,-0.4
2014-01-17,-0.84,12.0,-0.0,-0.3,4.51,-2.03,1.0,-0.4,-1.1,0.1,-1.3
2014-01-20,-0.39,-20.0,-1.1,-1.7,-5.47,6.46,-17.0,0.1,0.9,1.1,-0.2
2014-01-21,1.3,14.0,0.9,1.0,-4.99,-6.96,26.0,0.1,0.1,0.3,-0.2
2014-01-22,1.93,-4.0,0.1,1.4,3.33,-5.48,-6.0,0.0,0.4,0.6,-0.6
2014-01-23,-1.7,21.0,0.4,0.3,-0.82,-0.97,2.0,-0.3,0.1,0.3,-0.5
2014-01-24,1.6,-11.0,0.1,-0.2,-1.94,1.4,-3.0,-0.6,-1.3,-0.3,-1.4
2014-01-27,17.94,-39.0,-1.3,-1.9,-7.58,0.36,-4.0,-1.3,-2.0,-1.1,-2.1
2014-01-28,-5.09,-35.0,-2.0,-4.0,-20.28,11.4,5.0,-0.0,-0.1,0.4,-1.0
2014-01-29,1.81,2.0,-0.1,-0.3,-14.62,-10.42,1.0,0.4,-0.3,0.6,-0.5
2014-01-30,-4.38,3.0,-0.3,-0.8,-19.53,-23.14,-20.0,-0.4,-0.3,-0.1,-1.0
2014-01-31,-2.49,-8.0,-0.3,-2.0,12.32,61.37,49.0,0.2,0.1,0.5,-0.2
2014-02-03,8.62,14.0,0.1,0.5,1.71,-0.9,-13.0,-0.4,-1.2,-0.2,-1.3
2014-02-04,2.3,-28.0,-1.2,-1.2,-1.06,5.88,26.0,-0.7,-0.0,0.2,-1.4
2014-02-05,1.28,12.0,-0.0,1.0,1.22,0.81,-1.0,-0.2,0.2,0.3,-0.9
2014-02-06,0.05,1.0,0.2,0.1,0.84,0.68,-18.0,0.1,-0.0,0.3,-1.2
2014-02-07,-2.06,-3.0,-0.0,-0.4,-2.08,0.81,-24.0,0.7,0.4,0.8,-0.2
